,ST_CASE,INJ_SEV,INJ_SEVNAME,STATE,STATENAME,WEATHER,WEATHERNAME
0,10001,4,Fatal Injury (K),1,Alabama,1,Clear
1,10001,3,Suspected Serious Injury (A),1,Alabama,1,Clear
2,10002,3,Suspected Serious Injury (A),1,Alabama,2,Rain
3,10002,4,Fatal Injury (K),1,Alabama,2,Rain
4,10002,0,No Apparent Injury (O),1,Alabama,2,Rain
5,10003,4,Fatal Injury (K),1,Alabama,2,Rain
6,10003,0,No Apparent Injury (O),1,Alabama,2,Rain
7,10004,3,Suspected Serious Injury (A),1,Alabama,10,Cloudy
8,10004,4,Fatal Injury (K),1,Alabama,10,Cloudy
9,10005,4,Fatal Injury (K),1,Alabama,2,Rain
10,10006,4,Fatal Injury (K),1,Alabama,1,Clear
11,10006,3,Suspected Serious Injury (A),1,Alabama,1,Clear
12,10007,4,Fatal Injury (K),1,Alabama,1,Clear
13,10007,0,No Apparent Injury (O),1,Alabama,1,Clear
14,10008,4,Fatal Injury (K),1,Alabama,1,Clear
15,10008,0,No Apparent Injury (O),1,Alabama,1,Clear
16,10009,0,No Apparent Injury (O),1,Alabama,10,Cloudy
17,10009,4,Fatal Injury (K),1,Alabama,10,Cloudy
18,10009,3,Suspected Serious Injury (A),1,Alabama,10,Cloudy
19,10010,3,Suspected Serious Injury (A),1,Alabama,10,Cloudy
20,10010,4,Fatal Injury (K),1,Alabama,10,Cloudy
21,10010,2,Suspected Minor Injury (B),1,Alabama,10,Cloudy
22,10011,4,Fatal Injury (K),1,Alabama,2,Rain
23,10011,3,Suspected Serious Injury (A),1,Alabama,2,Rain
24,10011,1,Possible Injury (C),1,Alabama,2,Rain
25,10012,0,No Apparent Injury (O),1,Alabama,1,Clear
26,10012,4,Fatal Injury (K),1,Alabama,1,Clear
27,10013,4,Fatal Injury (K),1,Alabama,10,Cloudy
28,10013,2,Suspected Minor Injury (B),1,Alabama,10,Cloudy
29,10014,4,Fatal Injury (K),1,Alabama,2,Rain
30,10015,4,Fatal Injury (K),1,Alabama,10,Cloudy
31,10015,0,No Apparent Injury (O),1,Alabama,10,Cloudy
32,10016,3,Suspected Serious Injury (A),1,Alabama,2,Rain
33,10016,4,Fatal Injury (K),1,Alabama,2,Rain
34,10017,4,Fatal Injury (K),1,Alabama,1,Clear
35,10017,0,No Apparent Injury (O),1,Alabama,1,Clear
36,10018,4,Fatal Injury (K),1,Alabama,10,Cloudy
37,10018,0,No Apparent Injury (O),1,Alabama,10,Cloudy
38,10018,2,Suspected Minor Injury (B),1,Alabama,10,Cloudy
39,10019,4,Fatal Injury (K),1,Alabama,2,Rain
40,10020,4,Fatal Injury (K),1,Alabama,1,Clear
41,10021,4,Fatal Injury (K),1,Alabama,5,"Fog, Smog, Smoke"
42,10021,2,Suspected Minor Injury (B),1,Alabama,5,"Fog, Smog, Smoke"
43,10022,4,Fatal Injury (K),1,Alabama,1,Clear
44,10022,2,Suspected Minor Injury (B),1,Alabama,1,Clear
45,10023,4,Fatal Injury (K),1,Alabama,10,Cloudy
46,10024,4,Fatal Injury (K),1,Alabama,1,Clear
47,10024,0,No Apparent Injury (O),1,Alabama,1,Clear
48,10025,4,Fatal Injury (K),1,Alabama,1,Clear
49,10026,1,Possible Injury (C),1,Alabama,1,Clear
50,10026,4,Fatal Injury (K),1,Alabama,1,Clear
51,10026,2,Suspected Minor Injury (B),1,Alabama,1,Clear
52,10027,3,Suspected Serious Injury (A),1,Alabama,1,Clear
53,10027,4,Fatal Injury (K),1,Alabama,1,Clear
54,10028,3,Suspected Serious Injury (A),1,Alabama,1,Clear
55,10028,4,Fatal Injury (K),1,Alabama,1,Clear
56,10029,4,Fatal Injury (K),1,Alabama,10,Cloudy
57,10029,0,No Apparent Injury (O),1,Alabama,10,Cloudy
58,10030,2,Suspected Minor Injury (B),1,Alabama,10,Cloudy
59,10030,4,Fatal Injury (K),1,Alabama,10,Cloudy
60,10031,4,Fatal Injury (K),1,Alabama,10,Cloudy
61,10031,3,Suspected Serious Injury (A),1,Alabama,10,Cloudy
62,10031,0,No Apparent Injury (O),1,Alabama,10,Cloudy
63,10032,4,Fatal Injury (K),1,Alabama,10,Cloudy
64,10032,0,No Apparent Injury (O),1,Alabama,10,Cloudy
65,10033,4,Fatal Injury (K),1,Alabama,1,Clear
66,10033,3,Suspected Serious Injury (A),1,Alabama,1,Clear
67,10034,2,Suspected Minor Injury (B),1,Alabama,1,Clear
68,10034,4,Fatal Injury (K),1,Alabama,1,Clear
69,10034,0,No Apparent Injury (O),1,Alabama,1,Clear
70,10035,4,Fatal Injury (K),1,Alabama,1,Clear
71,10035,0,No Apparent Injury (O),1,Alabama,1,Clear
72,10036,4,Fatal Injury (K),1,Alabama,10,Cloudy
73,10037,2,Suspected Minor Injury (B),1,Alabama,1,Clear
74,10037,4,Fatal Injury (K),1,Alabama,1,Clear
75,10037,0,No Apparent Injury (O),1,Alabama,1,Clear
76,10038,4,Fatal Injury (K),1,Alabama,1,Clear
77,10038,0,No Apparent Injury (O),1,Alabama,1,Clear
78,10039,3,Suspected Serious Injury (A),1,Alabama,1,Clear
79,10039,4,Fatal Injury (K),1,Alabama,1,Clear
80,10040,1,Possible Injury (C),1,Alabama,2,Rain
81,10040,0,No Apparent Injury (O),1,Alabama,2,Rain
82,10040,4,Fatal Injury (K),1,Alabama,2,Rain
83,10040,3,Suspected Serious Injury (A),1,Alabama,2,Rain
84,10041,4,Fatal Injury (K),1,Alabama,2,Rain
85,10041,0,No Apparent Injury (O),1,Alabama,2,Rain
86,10042,4,Fatal Injury (K),1,Alabama,2,Rain
87,10043,3,Suspected Serious Injury (A),1,Alabama,1,Clear
88,10043,4,Fatal Injury (K),1,Alabama,1,Clear
89,10044,4,Fatal Injury (K),1,Alabama,1,Clear
90,10044,0,No Apparent Injury (O),1,Alabama,1,Clear
91,10045,3,Suspected Serious Injury (A),1,Alabama,1,Clear
92,10045,4,Fatal Injury (K),1,Alabama,1,Clear
93,10045,0,No Apparent Injury (O),1,Alabama,1,Clear
94,10046,4,Fatal Injury (K),1,Alabama,1,Clear
95,10046,0,No Apparent Injury (O),1,Alabama,1,Clear
96,10047,0,No Apparent Injury (O),1,Alabama,1,Clear
97,10047,2,Suspected Minor Injury (B),1,Alabama,1,Clear
98,10047,4,Fatal Injury (K),1,Alabama,1,Clear
99,10048,4,Fatal Injury (K),1,Alabama,1,Clear
100,10048,0,No Apparent Injury (O),1,Alabama,1,Clear
101,10049,4,Fatal Injury (K),1,Alabama,10,Cloudy
102,10049,3,Suspected Serious Injury (A),1,Alabama,10,Cloudy
103,10049,2,Suspected Minor Injury (B),1,Alabama,10,Cloudy
104,10049,0,No Apparent Injury (O),1,Alabama,10,Cloudy
105,10050,3,Suspected Serious Injury (A),1,Alabama,10,Cloudy
106,10050,4,Fatal Injury (K),1,Alabama,10,Cloudy
107,10051,4,Fatal Injury (K),1,Alabama,10,Cloudy
108,10051,3,Suspected Serious Injury (A),1,Alabama,10,Cloudy
109,10052,4,Fatal Injury (K),1,Alabama,10,Cloudy
110,10053,4,Fatal Injury (K),1,Alabama,5,"Fog, Smog, Smoke"
111,10054,4,Fatal Injury (K),1,Alabama,1,Clear
112,10054,3,Suspected Serious Injury (A),1,Alabama,1,Clear
113,10054,2,Suspected Minor Injury (B),1,Alabama,1,Clear
114,10055,3,Suspected Serious Injury (A),1,Alabama,1,Clear
115,10055,4,Fatal Injury (K),1,Alabama,1,Clear
116,10056,4,Fatal Injury (K),1,Alabama,1,Clear
117,10057,4,Fatal Injury (K),1,Alabama,2,Rain
118,10058,4,Fatal Injury (K),1,Alabama,1,Clear
119,10059,4,Fatal Injury (K),1,Alabama,10,Cloudy
120,10060,4,Fatal Injury (K),1,Alabama,1,Clear
121,10060,2,Suspected Minor Injury (B),1,Alabama,1,Clear
122,10061,4,Fatal Injury (K),1,Alabama,1,Clear
123,10062,0,No Apparent Injury (O),1,Alabama,1,Clear
124,10062,4,Fatal Injury (K),1,Alabama,1,Clear
125,10063,3,Suspected Serious Injury (A),1,Alabama,1,Clear
126,10063,2,Suspected Minor Injury (B),1,Alabama,1,Clear
127,10063,4,Fatal Injury (K),1,Alabama,1,Clear
128,10064,4,Fatal Injury (K),1,Alabama,1,Clear
129,10064,0,No Apparent Injury (O),1,Alabama,1,Clear
130,10065,4,Fatal Injury (K),1,Alabama,1,Clear
131,10065,0,No Apparent Injury (O),1,Alabama,1,Clear
132,10066,4,Fatal Injury (K),1,Alabama,10,Cloudy
133,10066,3,Suspected Serious Injury (A),1,Alabama,10,Cloudy
134,10066,0,No Apparent Injury (O),1,Alabama,10,Cloudy
135,10067,3,Suspected Serious Injury (A),1,Alabama,10,Cloudy
136,10067,4,Fatal Injury (K),1,Alabama,10,Cloudy
137,10067,2,Suspected Minor Injury (B),1,Alabama,10,Cloudy
138,10069,4,Fatal Injury (K),1,Alabama,2,Rain
139,10069,0,No Apparent Injury (O),1,Alabama,2,Rain
140,10070,0,No Apparent Injury (O),1,Alabama,1,Clear
141,10070,4,Fatal Injury (K),1,Alabama,1,Clear
142,10071,4,Fatal Injury (K),1,Alabama,1,Clear
143,10071,3,Suspected Serious Injury (A),1,Alabama,1,Clear
144,10072,4,Fatal Injury (K),1,Alabama,1,Clear
145,10073,4,Fatal Injury (K),1,Alabama,1,Clear
146,10073,3,Suspected Serious Injury (A),1,Alabama,1,Clear
147,10074,4,Fatal Injury (K),1,Alabama,1,Clear
148,10075,4,Fatal Injury (K),1,Alabama,2,Rain
149,10075,3,Suspected Serious Injury (A),1,Alabama,2,Rain
150,10076,4,Fatal Injury (K),1,Alabama,1,Clear
151,10076,1,Possible Injury (C),1,Alabama,1,Clear
152,10077,3,Suspected Serious Injury (A),1,Alabama,1,Clear
153,10077,4,Fatal Injury (K),1,Alabama,1,Clear
154,10078,4,Fatal Injury (K),1,Alabama,2,Rain
155,10078,0,No Apparent Injury (O),1,Alabama,2,Rain
156,10079,4,Fatal Injury (K),1,Alabama,10,Cloudy
157,10079,1,Possible Injury (C),1,Alabama,10,Cloudy
158,10080,3,Suspected Serious Injury (A),1,Alabama,2,Rain
159,10080,4,Fatal Injury (K),1,Alabama,2,Rain
160,10081,4,Fatal Injury (K),1,Alabama,2,Rain
161,10082,4,Fatal Injury (K),1,Alabama,1,Clear
162,10083,4,Fatal Injury (K),1,Alabama,1,Clear
